2025-04-16 18:37:11,Xe tải,1,frames/frame_2025-04-16 18-37-11.jpg,Unknown
2025-04-16 18:37:11,Xe tải,1,frames/frame_2025-04-16 18-37-11.jpg,Unknown
2025-04-16 18:37:11,Xe tải,1,frames/frame_2025-04-16 18-37-11.jpg,Unknown
2025-04-16 18:37:12,Xe tải,1,frames/frame_2025-04-16 18-37-12.jpg,Unknown
2025-04-16 18:37:12,Xe tải,1,frames/frame_2025-04-16 18-37-12.jpg,Unknown
2025-04-16 18:37:12,Xe tải,1,frames/frame_2025-04-16 18-37-12.jpg,Unknown
2025-04-16 18:37:13,Xe tải,1,frames/frame_2025-04-16 18-37-13.jpg,Unknown
2025-04-16 18:37:13,Xe máy,2,frames/frame_2025-04-16 18-37-13.jpg,Unknown
2025-04-16 18:37:13,Xe tải,1,frames/frame_2025-04-16 18-37-13.jpg,Unknown
2025-04-16 18:37:13,Xe máy,2,frames/frame_2025-04-16 18-37-13.jpg,Unknown
2025-04-16 18:37:14,Xe tải,1,frames/frame_2025-04-16 18-37-14.jpg,Unknown
2025-04-16 18:37:14,Xe máy,2,frames/frame_2025-04-16 18-37-14.jpg,Unknown
2025-04-16 18:37:14,Xe tải,1,frames/frame_2025-04-16 18-37-14.jpg,Unknown
2025-04-16 18:37:14,Xe máy,2,frames/frame_2025-04-16 18-37-14.jpg,Unknown
2025-04-16 18:37:15,Xe tải,1,frames/frame_2025-04-16 18-37-15.jpg,Unknown
2025-04-16 18:37:15,Xe máy,2,frames/frame_2025-04-16 18-37-15.jpg,Unknown
2025-04-16 18:37:15,Xe tải,1,frames/frame_2025-04-16 18-37-15.jpg,Unknown
2025-04-16 18:37:15,Xe máy,2,frames/frame_2025-04-16 18-37-15.jpg,Unknown
2025-04-16 18:37:16,Xe tải,1,frames/frame_2025-04-16 18-37-16.jpg,Unknown
2025-04-16 18:37:16,Xe máy,2,frames/frame_2025-04-16 18-37-16.jpg,Unknown
2025-04-16 18:37:16,Xe tải,1,frames/frame_2025-04-16 18-37-16.jpg,Unknown
